time	V(Vg,source)
0.000000000000000e+000	1.503228e-005
2.000000000000000e-009	1.503227e-005
2.788986490195001e-009	1.503181e-005
3.577972980390002e-009	1.503144e-005
4.366959470585003e-009	1.503117e-005
5.155945960780004e-009	1.503099e-005
5.944932450975005e-009	1.503089e-005
6.733918941170007e-009	1.503089e-005
7.522905431365005e-009	1.503099e-005
1.286859430188512e-008	1.503153e-005
1.821428317240523e-008	1.503195e-005
2.355997204292534e-008	1.503224e-005
2.890566091344545e-008	1.503241e-005
3.425134978396556e-008	1.503245e-005
3.959703865448567e-008	1.503236e-005
4.494272752500577e-008	1.503214e-005
5.596988372007560e-008	7.473736e+000
5.596988922522090e-008	7.529172e+000
5.597086590693018e-008	1.493641e+001
5.597093153820685e-008	1.493485e+001
5.597095721363415e-008	1.493418e+001
5.597097487297527e-008	1.493382e+001
5.597099573042570e-008	1.493326e+001
5.597103744532657e-008	1.493232e+001
5.597112087512830e-008	1.493027e+001
5.597128773473176e-008	1.492634e+001
5.597162145393868e-008	1.491830e+001
5.597228559291848e-008	1.490246e+001
5.597559256769784e-008	1.482365e+001
5.598336570546933e-008	1.468833e+001
5.599121868196398e-008	1.460424e+001
5.600331700927522e-008	1.450473e+001
5.602283220311863e-008	1.437516e+001
5.605279042725372e-008	1.421175e+001
5.610108589837014e-008	1.399393e+001
5.617541422226058e-008	1.371888e+001
5.629410232031871e-008	1.336123e+001
5.647633968252312e-008	1.291133e+001
5.675617546579339e-008	1.232044e+001
5.713934354707876e-008	1.162018e+001
5.769138899641801e-008	6.594156e+000
5.783814806124182e-008	-5.478108e-001
5.783815217202936e-008	-5.480175e-001
5.783816039360444e-008	-5.480423e-001
5.783817683675459e-008	-5.481000e-001
5.783820972305490e-008	-5.482242e-001
5.783827549565552e-008	-5.484719e-001
5.783840704085675e-008	-5.489664e-001
5.783867013125922e-008	-5.499551e-001
5.783919631206415e-008	-5.519326e-001
5.784024867367402e-008	-5.558827e-001
5.784235339689375e-008	-5.637667e-001
5.787181952197000e-008	-6.718912e-001
5.790549509348572e-008	-7.903092e-001
5.797284623651716e-008	-1.010712e+000
5.810754852258004e-008	-1.386299e+000
5.837695309470578e-008	-1.866645e+000
5.891576223895728e-008	-1.940127e+000
5.942395797946542e-008	-1.589686e+000
6.012258936753294e-008	-1.224325e+000
6.087693614955852e-008	-8.990949e-001
6.189579982029610e-008	-5.523426e-001
6.328942586833883e-008	2.485857e+000
6.428942586833882e-008	1.211120e+001
6.428945638591695e-008	1.188248e+001
6.428951742107319e-008	1.266835e+001
6.428951766652038e-008	1.169639e+001
6.428951815741476e-008	1.202700e+001
6.441451815741476e-008	1.186213e+001
6.453951815741475e-008	1.203312e+001
6.466451815741475e-008	1.197159e+001
6.478951815741475e-008	1.187377e+001
6.503814669711561e-008	1.151764e+001
6.535623018407783e-008	1.116540e+001
6.592437244235894e-008	1.061913e+001
6.651347565406723e-008	1.019430e+001
6.749019740365047e-008	9.917354e+000
6.854350532153942e-008	1.058786e+001
6.944868294724307e-008	1.118358e+001
7.044792633909641e-008	1.054451e+001
7.104352117985957e-008	1.011801e+001
7.172242430245105e-008	1.025803e+001
7.245182357566617e-008	1.037049e+001
7.337030813235708e-008	1.036836e+001
7.450406877549645e-008	1.036057e+001
7.560659401002299e-008	1.018604e+001
7.703456533158204e-008	9.727051e+000
7.875031042892909e-008	9.585289e+000
7.899502459306247e-008	9.592686e+000
7.923973875719586e-008	9.588836e+000
7.948445292132924e-008	9.573739e+000
7.972916708546263e-008	9.547396e+000
7.997388124959601e-008	9.509806e+000
8.021859541372939e-008	9.460970e+000
8.046330957786277e-008	9.400887e+000
8.104419926540748e-008	9.257237e+000
8.162508895295219e-008	9.126680e+000
8.220597864049690e-008	9.009214e+000
8.278686832804162e-008	8.904841e+000
8.336775801558632e-008	8.813559e+000
8.394864770313103e-008	8.735370e+000
8.452953739067574e-008	8.670273e+000
8.786767092618627e-008	8.395493e+000
8.964111823193401e-008	8.324081e+000
9.121369210833109e-008	8.306030e+000
9.284755392541618e-008	8.350082e+000
9.441950712917543e-008	8.449081e+000
9.644016543766523e-008	8.646828e+000
9.962580427196380e-008	9.061478e+000
1.074143966407471e-007	1.021252e+001
1.110595243618807e-007	1.071339e+001
1.153887575725475e-007	1.124461e+001
1.204521062008532e-007	1.177714e+001
1.259121986303567e-007	1.225317e+001
